序号,物资名称,存放位置,生产日期,有效期（天）,编号
1,灭火器,车辆段派班室,2020/3/15,3650,1
2,灭火器,车辆段派班室,2020/3/15,3650,2
3,灭火器,车辆段派班室,2020/3/15,3650,3
4,灭火器,车辆段派班室,2020/3/15,3650,4
5,灭火器,车辆段运用库206,2020/3/15,3650,1
6,灭火器,车辆段运用库206,2020/3/15,3650,2
7,灭火器,车辆段依维柯,2020/3/15,3650,1
8,灭火器,车辆段依维柯,2020/3/15,3650,2
9,灭火器,凤凰台派班室,2021/8/31,3650,1
10,灭火器,凤凰台派班室,2021/8/31,3650,2
11,灭火器,凤凰台派班室,2021/8/31,3650,3
12,灭火器,凤凰台派班室,2021/8/31,3650,4
13,灭火器,凤凰台上行换乘室,2021/8/31,3650,1
14,灭火器,凤凰台上行换乘室,2021/8/31,3650,2
15,灭火器,凤凰台下行换乘室,2021/8/31,3650,1
16,灭火器,凤凰台下行换乘室,2021/8/31,3650,2
17,灭火器,凤凰台更衣室1,2021/8/31,3650,1
18,灭火器,凤凰台更衣室1,2021/8/31,3650,2
19,灭火器,凤凰台更衣室2,2021/8/31,3650,1
20,灭火器,凤凰台更衣室2,2021/8/31,3650,2
21,灭火器,凤凰台更衣室3,2020/3/15,3650,1
22,灭火器,凤凰台更衣室3,2020/3/15,3650,2
23,灭火器,凤凰台培训室,2021/8/31,3650,1
24,灭火器,凤凰台培训室,2021/8/31,3650,2
25,灭火器,省体上行换乘室,2020/10/24,3650,1
26,灭火器,省体上行换乘室,2020/10/24,3650,2
27,灭火器,省体下行换乘室,2019/11/6,3650,1
28,灭火器,省体下行换乘室,2019/11/6,3650,2
29,灭火器,滨南下行换乘室,2023/2/21,3650,1
30,灭火器,滨南下行换乘室,2023/2/21,3650,2
31,救生衣,凤凰台派班室,2021/7/20,0,1
32,救生衣,凤凰台派班室,2021/7/20,0,2
33,救生衣,凤凰台上行换乘室,2021/7/20,0,1
34,救生衣,凤凰台上行换乘室,2021/7/20,0,2
35,救生衣,凤凰台下行换乘室,2021/7/20,0,1
36,救生衣,凤凰台下行换乘室,2021/7/20,0,2
37,救生衣,省体上行换乘室,2021/7/20,0,1
38,救生衣,省体上行换乘室,2021/7/20,0,2
39,救生衣,滨南下行换乘室,2021/7/20,0,1
40,救生衣,滨南下行换乘室,2021/7/20,0,2
41,救生衣,0301车,2021/7/20,0,1
42,救生衣,0302车,2021/7/20,0,1
43,救生衣,0303车,2021/7/20,0,1
44,救生衣,0304车,2021/7/20,0,1
45,救生衣,0305车,2021/7/20,0,1
46,救生衣,0306车,2021/7/20,0,1
47,救生衣,0307车,2021/7/20,0,1
48,救生衣,0308车,2021/7/20,0,1
49,救生衣,0309车,2021/7/20,0,1
50,救生衣,0310车,2021/7/20,0,1
51,救生衣,0311车,2021/7/20,0,1
52,救生衣,0312车,2021/7/20,0,1
53,救生衣,0313车,2021/7/20,0,1
54,救生衣,0314车,2021/7/20,0,1
55,救生衣,0315车,2021/7/20,0,1
56,救生衣,0316车,2021/7/20,0,1
57,救生衣,0317车,2021/7/20,0,1
58,救生衣,0318车,2021/7/20,0,1
59,救生衣,0319车,2021/7/20,0,1
60,救生衣,0320车,2021/7/20,0,1
61,救生衣,0321车,2021/7/20,0,1
62,救生衣,0322车,2021/7/20,0,1
63,救生衣,0323车,2021/7/20,0,1
64,救生衣,0324车,2021/7/20,0,1
65,救生衣,0325车,2021/7/20,0,1
66,救生衣,0326车,2021/7/20,0,1
67,救生衣,0327车,2021/7/20,0,1
68,救生衣,0328车,2021/7/20,0,1
69,救生衣,0329车,2021/7/20,0,1
70,救生衣,0330车,2021/7/20,0,1
71,救生衣,0331车,2021/7/20,0,1
72,救生衣,0332车,2021/7/20,0,1
73,救生衣,0333车,2021/7/20,0,1
74,救生衣,0334车,2021/7/20,0,1
75,救生衣,0301车,2021/7/20,0,2
76,救生衣,0302车,2021/7/20,0,2
77,救生衣,0303车,2021/7/20,0,2
78,救生衣,0304车,2021/7/20,0,2
79,救生衣,0305车,2021/7/20,0,2
80,救生衣,0306车,2021/7/20,0,2
81,救生衣,0307车,2021/7/20,0,2
82,救生衣,0308车,2021/7/20,0,2
83,救生衣,0309车,2021/7/20,0,2
84,救生衣,0310车,2021/7/20,0,2
85,救生衣,0311车,2021/7/20,0,2
86,救生衣,0312车,2021/7/20,0,2
87,救生衣,0313车,2021/7/20,0,2
88,救生衣,0314车,2021/7/20,0,2
89,救生衣,0315车,2021/7/20,0,2
90,救生衣,0316车,2021/7/20,0,2
91,救生衣,0317车,2021/7/20,0,2
92,救生衣,0318车,2021/7/20,0,2
93,救生衣,0319车,2021/7/20,0,2
94,救生衣,0320车,2021/7/20,0,2
95,救生衣,0321车,2021/7/20,0,2
96,救生衣,0322车,2021/7/20,0,2
